Name;ACR_inf;ActiveLayer;Ceiling;ExtWall;FBH;FensterModel;FensterSignal;Floor;IntGain;IntWall_H;IntWall_L;Laibung;SV_ON;SV_T_OFF;SV_T_ON;THB;Tset;WeatherFile;WindowID;bui
RomansThesis_0;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_0;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_1;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_1;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_2;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_2;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_3;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_3;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_4;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_4;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_5;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_5;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_6;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_6;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_7;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_7;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_8;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_8;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_9;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_9;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_10;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_10;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_11;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_11;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
RomansThesis_12;0;0;DA;LB_AW;FBH_DUMMY;MC;MC_SIG_12;BO;6.0;LB_IW_H;LB_IW_L;0.5;-20;-20.0;-20.0;0.018;20.0;MUC_2020.epw;3307;LB
